Modelo,FPS,BS,LR,DR,Tr_layers,Precision_Fight,Recall_Fight,F1_Fight,Precision_No_Fight,Recall_No_Fight,F1_No_Fight,Test_Accuracy
A0,5.0,32,0.001,0.2,2,0.7251,0.8095,0.765,0.7844,0.6931,0.736,0.7672
A0,5.0,32,0.001,0.2,3,0.744,0.8148,0.7778,0.7953,0.7196,0.7556,0.7593
A0,5.0,32,0.001,0.3,0,0.7215,0.836,0.7745,0.805,0.6772,0.7356,0.7646
A0,5.0,32,0.001,0.4,2,0.7487,0.7566,0.7526,0.754,0.746,0.75,0.7593
A0,5.0,64,0.001,0.1,2,0.7397,0.8571,0.7941,0.8302,0.6984,0.7586,0.7619
A1,5.0,32,0.001,0.1,0,0.7817,0.8148,0.7979,0.8066,0.7725,0.7892,0.7804
A1,5.0,32,0.001,0.2,2,0.8253,0.7249,0.7718,0.7547,0.8466,0.798,0.8016
A1,5.0,32,0.001,0.2,3,0.8011,0.7672,0.7838,0.7766,0.8095,0.7927,0.7646
A1,5.0,32,0.001,0.4,2,0.7637,0.7354,0.7493,0.7449,0.7725,0.7584,0.7619
A2,5.0,32,0.001,0.1,0,0.782,0.873,0.825,0.8563,0.7566,0.8034,0.8069
A2,5.0,32,0.001,0.1,3,0.7391,0.8095,0.7727,0.7895,0.7143,0.75,0.7646
A2,5.0,32,0.001,0.2,2,0.77,0.8148,0.7918,0.8034,0.7566,0.7793,0.7963
A2,5.0,32,0.001,0.3,0,0.7921,0.8466,0.8184,0.8352,0.7778,0.8055,0.8122
A2,5.0,64,0.001,0.1,0,0.7557,0.8836,0.8146,0.8599,0.7143,0.7803,0.791
A2,5.0,64,0.001,0.3,0,0.7511,0.8783,0.8098,0.8535,0.709,0.7746,0.7937
A3,12.0,32,0.001,0.1,0,0.8476,0.7354,0.7875,0.7664,0.8677,0.8139,0.8016
A3,12.0,32,0.001,0.1,3,0.7794,0.8413,0.8092,0.8276,0.7619,0.7934,0.8016
A3,12.0,32,0.001,0.2,2,0.7979,0.8148,0.8063,0.8108,0.7937,0.8021,0.8042
A3,12.0,32,0.001,0.3,0,0.758,0.8783,0.8137,0.8553,0.7196,0.7816,0.7989
A3,12.0,32,0.01,0.2,4,0.8081,0.8466,0.8269,0.8389,0.7989,0.8184,0.8228
A3,12.0,64,0.001,0.3,0,0.8466,0.8466,0.8466,0.8466,0.8466,0.8466,0.8466
A3,12.0,64,0.001,0.3,2,0.8471,0.7619,0.8022,0.7837,0.8624,0.8212,0.8122
A3,12.0,64,0.01,0.1,4,0.7619,0.8466,0.802,0.8274,0.7354,0.7787,0.791
A4,8.0,32,0.001,0.1,0,0.8247,0.8466,0.8355,0.8424,0.8201,0.8311,0.8307
A4,8.0,32,0.001,0.1,3,0.8256,0.8519,0.8385,0.847,0.8201,0.8333,0.8228
A4,8.0,32,0.001,0.2,2,0.8163,0.8466,0.8312,0.8407,0.8095,0.8248,0.836
A4,8.0,64,0.001,0.1,0,0.8402,0.8624,0.8512,0.8587,0.836,0.8472,0.8413
A4,8.0,64,0.001,0.1,3,0.7892,0.8519,0.8193,0.8391,0.7725,0.8044,0.8228
A4,8.0,64,0.001,0.2,2,0.79,0.9153,0.848,0.8994,0.7566,0.8218,0.8201
A4,8.0,64,0.001,0.3,0,0.8191,0.8624,0.8402,0.8547,0.8095,0.8315,0.8307
A5,8.0,32,0.001,0.1,0,0.7717,0.7513,0.7614,0.7577,0.7778,0.7676,0.7698
A5,8.0,32,0.001,0.1,3,0.755,0.7989,0.7763,0.7865,0.7407,0.7629,0.7804
A5,8.0,32,0.001,0.2,2,0.7537,0.8095,0.7806,0.7943,0.7354,0.7637,0.7698
A5,8.0,32,0.001,0.3,0,0.7552,0.7672,0.7612,0.7634,0.7513,0.7573,0.7725
