Epoch,Training Loss,Validation Loss,Training Accuracy,Validation Accuracy
1,0.45496290922164917,0.49171093106269836,0.781798243522644,0.8068783283233643
2,0.33508870005607605,0.47812095284461975,0.8459429740905762,0.8148148059844971
3,0.296951562166214,0.5075979828834534,0.8711622953414917,0.8015872836112976
4,0.27260494232177734,0.6178507208824158,0.8793859481811523,0.7989417910575867
5,0.22480954229831696,0.5210388898849487,0.9046052694320679,0.8333333134651184
6,0.21664373576641083,0.5347568392753601,0.9073464870452881,0.7989417910575867
7,0.21141348779201508,0.5114249587059021,0.9089912176132202,0.817460298538208
8,0.20729570090770721,0.5316089987754822,0.9139254093170166,0.8068783283233643
9,0.20774513483047485,0.5319100618362427,0.9155701994895935,0.820105791091919
10,0.2021920382976532,0.5228638052940369,0.9194079041481018,0.8068783283233643
11,0.2051122635602951,0.5261535048484802,0.9177631735801697,0.8068783283233643
12,0.20182572305202484,0.5132323503494263,0.9166666865348816,0.820105791091919
13,0.20300628244876862,0.5341590046882629,0.9144737124443054,0.8068783283233643
14,0.21175561845302582,0.5388445854187012,0.9111841917037964,0.8015872836112976
15,0.20133905112743378,0.5211127400398254,0.9172149300575256,0.817460298538208
