Epoch,Training Loss,Validation Loss,Training Accuracy,Validation Accuracy
1,0.4987124502658844,0.451782763004303,0.7521929740905762,0.7910053133964539
2,0.3621875047683716,0.43983080983161926,0.843201756477356,0.7830687761306763
3,0.3113252818584442,0.43336519598960876,0.8667762875556946,0.8042327761650085
4,0.2699931859970093,0.5109934210777283,0.8793859481811523,0.8121693134307861
5,0.2641089856624603,0.4889151453971863,0.8854166865348816,0.8015872836112976
6,0.19322367012500763,0.4725189507007599,0.9232456088066101,0.8042327761650085
7,0.1795990914106369,0.4781932234764099,0.9314693212509155,0.7989417910575867
8,0.17372961342334747,0.4812604784965515,0.9320175647735596,0.7989417910575867
9,0.17310959100723267,0.4844653308391571,0.9385964870452881,0.7989417910575867
10,0.17011570930480957,0.4844563901424408,0.9375,0.7989417910575867
11,0.17020976543426514,0.4844714403152466,0.9364035129547119,0.7989417910575867
12,0.16832026839256287,0.48447415232658386,0.9413377046585083,0.7989417910575867
13,0.1716281771659851,0.48446059226989746,0.9342105388641357,0.7989417910575867
14,0.17239230871200562,0.4844900369644165,0.9347587823867798,0.7989417910575867
15,0.171441912651062,0.4845181107521057,0.9385964870452881,0.7989417910575867
